episode,total_reward,steps,epsilon,initial_Kp,final_Kp,initial_Kd,final_Kd
1,-9191.68341973097,92,0.9997,10.0,6.0,5.0,4.0
2,-1125.1670171532553,2,0.9994000900000001,6.0,5.5,4.0,4.5
3,-1112.70548088755,1,0.999100269973,5.5,5.0,4.5,4.0
4,-1120.0629236456793,1,0.9988005398920082,5.0,5.0,4.0,4.5
5,-1156.3724108701147,2,0.9985008997300406,5.0,5.0,4.5,5.0
6,-1137.7221537134064,2,0.9982013494601216,5.0,5.0,5.0,4.0
7,-1117.2934222559688,1,0.9979018890552837,5.0,5.5,4.0,3.5
8,-1103.2419414922683,1,0.9976025184885671,5.5,5.0,3.5,3.5
9,-1101.9160350543752,1,0.9973032377330205,5.0,5.0,3.5,3.5
10,-1100.9796387763824,1,0.9970040467617006,5.0,5.5,3.5,3.0
11,-1111.6231346294098,1,0.9967049455476722,5.5,6.0,3.0,3.0
12,-1110.1886511038492,1,0.9964059340640079,6.0,5.5,3.0,3.5
13,-1111.1992460951308,1,0.9961070122837887,5.5,5.5,3.5,3.5
14,-1117.6107408143541,1,0.9958081801801036,5.5,5.5,3.5,3.5
15,-1096.580986651504,1,0.9955094377260496,5.5,5.0,3.5,3.0
16,-1106.672187226863,1,0.9952107848947318,5.0,5.5,3.0,3.0
17,-1117.5106382071604,1,0.9949122216592634,5.5,6.0,3.0,3.0
18,-1133.1037228668956,1,0.9946137479927657,6.0,6.5,3.0,2.5
19,-2765.6779307832962,10,0.9943153638683679,6.5,6.5,2.5,3.5
20,-1147.706731086978,2,0.9940170692592074,6.5,5.5,3.5,4.0
21,-1172.1472101595928,2,0.9937188641384297,5.5,5.5,4.0,5.0
22,-1148.7651203088062,2,0.9934207484791882,5.5,5.5,5.0,5.5
23,-1183.0080530382584,2,0.9931227222546445,5.5,5.0,5.5,6.5
24,-1169.408407551957,2,0.9928247854379681,5.0,4.5,6.5,7.0
25,-1142.0136792164758,2,0.9925269380023368,4.5,4.0,7.0,7.0
26,-1146.4786383365274,2,0.9922291799209362,4.0,5.0,7.0,6.5
27,-1164.5423995982542,2,0.9919315111669599,5.0,5.5,6.5,6.0
28,-1186.0702867147636,2,0.9916339317136098,5.5,5.0,6.0,6.0
29,-1262.8721427047712,2,0.9913364415340957,5.0,6.0,6.0,7.0
30,-12337.705088245833,100,0.9910390406016355,6.0,11.5,7.0,7.0
31,-7828.196252286206,100,0.990741728889455,11.5,13.0,7.0,14.0
32,-4710.79417682968,100,0.9904445063707882,13.0,15.5,14.0,18.0
33,-6010.049404387701,100,0.990147373018877,15.5,14.5,18.0,21.0
34,-4162.190694286829,100,0.9898503288069713,14.5,18.0,21.0,12.0
35,-2655.899232473461,100,0.9895533737083293,18.0,19.5,12.0,17.5
36,-2917.0100930237754,100,0.9892565076962169,19.5,17.0,17.5,12.5
37,-3459.723965243482,100,0.9889597307439081,17.0,15.0,12.5,6.0
38,-3334.819178272956,100,0.988663042824685,15.0,17.5,6.0,11.0
39,-3803.8955167081626,100,0.9883664439118376,17.5,15.0,11.0,23.0
40,-4779.910742243964,100,0.988069933978664,15.0,15.0,23.0,27.0
41,-4260.371467168342,100,0.9877735129984705,15.0,16.5,27.0,32.0
42,-9261.271219690836,100,0.9874771809445709,16.5,8.0,32.0,34.0
43,-6917.91080358451,100,0.9871809377902876,8.0,15.5,34.0,35.0
44,-3223.1292275969813,100,0.9868847835089506,15.5,18.5,35.0,38.5
45,-2785.671110812171,100,0.9865887180738979,18.5,22.5,38.5,39.5
46,-1870.9422103373765,100,0.9862927414584758,22.5,27.0,39.5,39.5
47,-1479.36115650515,100,0.9859968536360383,27.0,27.0,39.5,41.0
48,-1238.0460297363177,100,0.9857010545799475,27.0,33.0,41.0,41.0
49,-865.1443074371678,100,0.9854053442635735,33.0,38.0,41.0,34.0
50,-754.1891054600317,100,0.9851097226602945,38.0,38.5,34.0,31.0
51,-652.3975801990044,100,0.9848141897434964,38.5,37.5,31.0,30.5
52,-714.7466773534896,100,0.9845187454865735,37.5,39.5,30.5,33.0
53,-619.5794047032606,100,0.9842233898629276,39.5,41.5,33.0,35.0
54,-581.5350598693793,100,0.9839281228459688,41.5,42.0,35.0,36.5
55,-495.6264658676087,100,0.983632944409115,42.0,47.0,36.5,36.0
56,-431.03266363338633,100,0.9833378545257923,47.0,50.0,36.0,36.5
57,-441.30729603598127,100,0.9830428531694345,50.0,46.5,36.5,31.0
58,-447.9153162207938,100,0.9827479403134837,46.5,47.0,31.0,33.0
59,-453.7287892313459,100,0.9824531159313896,47.0,45.5,33.0,35.5
60,-454.46196069484,100,0.9821583799966103,45.5,48.5,35.5,36.0
61,-436.446570047361,100,0.9818637324826113,48.5,47.5,36.0,38.0
62,-452.06537843524166,100,0.9815691733628665,47.5,45.5,38.0,37.5
63,-477.0300421714395,100,0.9812747026108577,45.5,47.0,37.5,41.0
64,-512.408155912892,100,0.9809803202000744,47.0,47.0,41.0,41.0
65,-465.84357206189935,100,0.9806860261040145,47.0,49.0,41.0,42.0
66,-459.13226672796094,100,0.9803918202961833,49.0,45.5,42.0,39.0
67,-486.45778460027043,100,0.9800977027500946,45.5,46.5,39.0,45.0
68,-489.10039825823816,100,0.9798036734392696,46.5,45.5,45.0,45.5
69,-464.14539179761016,100,0.9795097323372378,45.5,48.5,45.5,42.0
70,-530.0401663492182,100,0.9792158794175366,48.5,42.0,42.0,41.5
71,-626.3147579923146,100,0.9789221146537114,42.0,38.0,41.5,40.5
72,-853.4443888480527,100,0.9786284380193153,38.0,33.0,40.5,38.0
73,-770.6717951792496,100,0.9783348494879096,33.0,37.0,38.0,38.0
74,-744.3440237267137,100,0.9780413490330633,37.0,34.0,38.0,36.0
75,-1191.7014044459002,100,0.9777479366283534,34.0,26.5,36.0,41.0
76,-1981.496181497578,100,0.9774546122473649,26.5,21.0,41.0,38.5
77,-2578.143266565397,100,0.9771613758636907,21.0,18.5,38.5,40.0
78,-3715.126269476725,100,0.9768682274509316,18.5,17.5,40.0,38.5
79,-3351.940139265728,100,0.9765751669826963,17.5,18.0,38.5,30.0
80,-2943.4973310479068,100,0.9762821944326016,18.0,18.0,30.0,30.0
81,-2133.2348516204543,100,0.9759893097742718,18.0,23.0,30.0,26.0
82,-1550.3475672950983,100,0.9756965129813395,23.0,25.5,26.0,31.0
83,-1377.843416653085,100,0.9754038040274452,25.5,25.5,31.0,31.5
84,-1902.1269402568691,100,0.975111182886237,25.5,17.0,31.5,30.5
85,-3291.0924265756257,100,0.9748186495313712,17.0,15.5,30.5,30.5
86,-5288.301927434012,100,0.9745262039365118,15.5,12.5,30.5,36.5
87,-7503.0345323498705,100,0.9742338460753309,12.5,8.5,36.5,41.0
88,-11691.666153571383,100,0.9739415759215083,8.5,10.5,41.0,36.5
89,-9728.788229777692,73,0.9736493934487319,10.5,6.0,36.5,34.0
90,-2807.5298639972675,13,0.9733572986306973,6.0,5.0,34.0,33.5
91,-13352.565703056687,100,0.9730652914411081,5.0,8.5,33.5,34.0
92,-5359.3062057236575,27,0.9727733718536757,8.5,5.5,34.0,31.0
93,-7134.708222856742,36,0.9724815398421197,5.5,6.0,31.0,33.5
94,-2450.013820310759,11,0.9721897953801671,6.0,5.0,33.5,32.0
95,-1856.8758041352908,6,0.9718981384415531,5.0,4.5,32.0,32.0
96,-1918.523282807716,7,0.9716065690000207,4.5,4.5,32.0,32.5
97,-1554.135776568196,5,0.9713150870293208,4.5,2.5,32.5,31.5
98,-1393.6232098962992,4,0.9710236925032121,2.5,0.5,31.5,33.0
99,-1355.2648162981511,3,0.9707323853954611,0.5,0.5,33.0,32.0
100,-1340.3040910720247,3,0.9704411656798425,0.5,1.0,32.0,32.0
101,-1337.9949440224436,3,0.9701500333301386,1.0,0.0,32.0,31.5
102,-1296.3436929947798,3,0.9698589883201396,0.0,0.0,31.5,32.5
103,-1359.7770385317863,3,0.9695680306236436,0.0,0.5,32.5,32.0
104,-1386.8505713484503,3,0.9692771602144565,0.5,1.5,32.0,31.5
105,-1435.5029030975484,4,0.9689863770663922,1.5,2.5,31.5,32.5
106,-1433.242993126725,4,0.9686956811532723,2.5,2.0,32.5,31.5
107,-1443.3285101387908,4,0.9684050724489264,2.0,2.0,31.5,31.5
108,-1401.5166288062665,3,0.9681145509271917,2.0,1.5,31.5,33.0
109,-1369.1555912175288,3,0.9678241165619136,1.5,1.0,33.0,33.5
110,-1348.350253789639,3,0.967533769326945,1.0,0.0,33.5,33.0
111,-1334.992340455849,3,0.967243509196147,0.0,0.5,33.0,34.0
112,-1373.8851906316354,3,0.9669533361433882,0.5,0.5,34.0,34.0
113,-1314.1229465749461,3,0.9666632501425452,0.5,0.0,34.0,33.0
114,-1364.738974963041,3,0.9663732511675024,0.0,0.5,33.0,34.0
115,-1332.419916527604,3,0.9660833391921522,0.5,0.5,34.0,33.5
116,-1415.3084014176613,3,0.9657935141903946,0.5,2.0,33.5,33.0
117,-1430.0978588899416,4,0.9655037761361375,2.0,1.5,33.0,33.5
118,-1431.1083055424663,4,0.9652141250032966,1.5,2.5,33.5,32.5
119,-1430.98288766934,4,0.9649245607657957,2.5,1.5,32.5,34.0
120,-1357.793723021794,3,0.964635083397566,1.5,0.5,34.0,33.5
121,-1327.7933636445136,3,0.9643456928725468,0.5,0.5,33.5,33.0
122,-1359.2448071948934,3,0.9640563891646851,0.5,1.0,33.0,32.5
123,-1382.4229016534973,3,0.9637671722479357,1.0,1.0,32.5,34.0
124,-1414.4359404511542,4,0.9634780420962614,1.0,2.0,34.0,34.0
125,-1418.7011105829279,4,0.9631889986836326,2.0,1.5,34.0,34.0
126,-1508.7899118569824,4,0.9629000419840276,1.5,3.0,34.0,34.0
127,-1597.980626150719,5,0.9626111719714324,3.0,3.5,34.0,35.0
128,-1592.8416323173951,5,0.962322388619841,3.5,3.5,35.0,35.0
129,-1676.9856332833206,5,0.962033691903255,3.5,4.0,35.0,35.0
130,-1921.5819838966052,7,0.9617450817956841,4.0,5.0,35.0,34.5
131,-2025.2859887775248,8,0.9614565582711454,5.0,4.5,34.5,33.5
132,-2064.31462712384,8,0.9611681213036641,4.5,5.5,33.5,32.5
133,-1712.3867243533566,5,0.960879770867273,5.5,4.5,32.5,32.0
134,-1584.8365733794778,5,0.9605915069360129,4.5,3.0,32.0,31.0
135,-1454.9046513742887,4,0.9603033294839322,3.0,3.0,31.0,31.0
136,-1593.035075415059,5,0.960015238485087,3.0,4.0,31.0,33.5
137,-1762.5392774833317,6,0.9597272339135414,4.0,4.0,33.5,31.5
138,-1538.878098715156,4,0.9594393157433674,4.0,4.0,31.5,30.5
139,-1825.4586394203388,6,0.9591514839486444,4.0,5.0,30.5,31.0
140,-3470.470005664666,14,0.9588637385034599,5.0,6.0,31.0,32.0
141,-2173.4067227740293,9,0.9585760793819088,6.0,6.0,32.0,32.5
142,-1988.6300326309865,7,0.9582885065580943,6.0,4.5,32.5,33.5
143,-1733.2372068924228,6,0.9580010200061269,4.5,4.0,33.5,33.0
144,-1660.6843994302849,5,0.957713619700125,4.0,3.5,33.0,35.5
145,-1750.305020358429,6,0.957426305614215,3.5,3.5,35.5,37.0
146,-1595.8072563636858,5,0.9571390777225308,3.5,3.0,37.0,36.0
147,-1446.0716740722155,4,0.9568519359992141,3.0,1.5,36.0,35.0
148,-1449.5188542589667,4,0.9565648804184144,1.5,1.5,35.0,35.0
149,-1420.790020656853,4,0.9562779109542888,1.5,1.5,35.0,34.5
150,-1389.1150829091798,3,0.9559910275810025,1.5,1.0,34.5,33.5
151,-1401.5766468391585,4,0.9557042302727282,1.0,2.0,33.5,31.5
152,-1433.8333960562982,4,0.9554175190036465,2.0,2.0,31.5,32.0
153,-1342.0171124894787,3,0.9551308937479454,2.0,0.5,32.0,30.5
154,-1327.5923652419883,3,0.954844354479821,0.5,0.0,30.5,31.0
155,-1306.1588164166133,3,0.954557901173477,0.0,0.0,31.0,29.5
156,-1299.6826209062242,3,0.954271533803125,0.0,0.0,29.5,29.0
157,-1270.0524449158347,2,0.9539852523429841,0.0,0.0,29.0,29.0
158,-1277.4514259646598,2,0.9536990567672813,0.0,0.0,29.0,28.5
159,-1315.08397170404,3,0.9534129470502511,0.0,0.5,28.5,29.5
160,-1318.2862378142709,3,0.9531269231661361,0.5,1.5,29.5,30.5
161,-1418.863967648112,4,0.9528409850891864,1.5,2.0,30.5,30.5
162,-1382.355004932672,3,0.9525551327936597,2.0,1.5,30.5,30.0
163,-1367.7744440250117,3,0.9522693662538216,1.5,1.5,30.0,30.0
164,-1386.1677549219141,3,0.9519836854439455,1.5,1.5,30.0,31.0
165,-1323.9869249183018,3,0.9516980903383123,1.5,0.5,31.0,31.0
166,-1298.009419334567,3,0.9514125809112108,0.5,0.0,31.0,32.0
167,-1334.1484542969292,3,0.9511271571369375,0.0,0.0,32.0,32.5
168,-1337.1801256832166,3,0.9508418189897965,0.0,0.0,32.5,33.0
169,-1345.8484404513058,3,0.9505565664440996,0.0,0.5,33.0,32.5
170,-1398.988968231338,4,0.9502713994741664,0.5,1.5,32.5,33.0
171,-1439.5556177275557,4,0.9499863180543242,1.5,2.0,33.0,32.5
172,-1405.7361537659249,4,0.9497013221589079,2.0,1.0,32.5,32.5
173,-1318.178511892943,3,0.9494164117622602,1.0,0.0,32.5,31.0
174,-1314.417373429681,3,0.9491315868387316,0.0,0.5,31.0,30.5
175,-1283.807791767476,2,0.94884684736268,0.5,0.0,30.5,30.5
176,-1314.6183298213882,3,0.9485621933084712,0.0,0.0,30.5,30.0
177,-1309.4439977506154,3,0.9482776246504787,0.0,0.5,30.0,29.5
178,-1293.8479530347615,3,0.9479931413630835,0.5,0.5,29.5,29.0
179,-1297.4032831119596,3,0.9477087434206747,0.5,0.0,29.0,28.5
180,-1293.6410050260813,3,0.9474244307976485,0.0,0.5,28.5,29.0
181,-1303.1216294767084,3,0.9471402034684092,0.5,0.5,29.0,29.0
182,-1288.2002540287988,3,0.9468560614073688,0.5,0.0,29.0,29.0
183,-1298.129875776745,3,0.9465720045889466,0.0,0.0,29.0,29.5
184,-1303.863433724367,3,0.94628803298757,0.0,0.0,29.5,28.5
185,-1290.1906870182534,3,0.9460041465776737,0.0,0.5,28.5,28.5
186,-1283.124669042706,2,0.9457203453337004,0.5,0.5,28.5,27.5
187,-1297.210991431814,3,0.9454366292301003,0.5,0.5,27.5,28.0
188,-1266.8757271780119,2,0.9451529982413313,0.5,0.5,28.0,28.0
189,-1287.1793758314266,3,0.9448694523418589,0.5,0.0,28.0,28.5
190,-1283.7562872735607,3,0.9445859915061564,0.0,1.0,28.5,28.5
191,-1311.0584322919906,3,0.9443026157087046,1.0,1.0,28.5,28.5
192,-1305.9545639886155,3,0.944019324923992,1.0,0.0,28.5,29.0
193,-1324.2226390453588,3,0.9437361191265148,0.0,1.5,29.0,28.5
194,-1337.469933835665,3,0.9434529982907769,1.5,2.0,28.5,28.0
195,-1359.1470609578837,3,0.9431699623912897,2.0,2.5,28.0,29.0
196,-1332.5532861265958,3,0.9428870114025724,2.5,1.0,29.0,28.5
197,-1304.4607737739448,3,0.9426041452991516,1.0,0.5,28.5,29.0
198,-1268.297399190129,2,0.9423213640555619,0.5,0.0,29.0,29.0
199,-1289.9879915588913,3,0.9420386676463453,0.0,0.0,29.0,30.0
200,-1303.089327957732,3,0.9417560560460514,0.0,0.0,30.0,30.0
201,-1295.3961041914913,3,0.9414735292292377,0.0,0.5,30.0,29.0
202,-1290.1031007741142,3,0.941191087170469,0.5,0.0,29.0,30.0
203,-1286.9515831472966,3,0.9409087298443178,0.0,0.5,30.0,30.0
204,-1310.8458911411656,3,0.9406264572253645,0.5,0.0,30.0,29.0
205,-1302.713702876449,3,0.9403442692881969,0.0,1.0,29.0,29.5
206,-1341.0835812409907,3,0.9400621660074104,1.0,1.5,29.5,30.0
207,-1356.7955429963563,3,0.9397801473576083,1.5,1.0,30.0,29.5
208,-1325.8761792706048,3,0.939498213313401,1.0,0.5,29.5,29.0
209,-1304.2140999508727,3,0.939216363849407,0.5,0.0,29.0,29.5
210,-1312.0693225507023,3,0.9389345989402522,0.0,0.5,29.5,29.0
211,-1344.6992287972957,3,0.9386529185605702,0.5,1.5,29.0,28.0
212,-1356.4717576910275,3,0.9383713226850021,1.5,2.5,28.0,27.5
213,-1334.5317354890342,3,0.9380898112881967,2.5,1.5,27.5,26.5
214,-1306.0179852283677,3,0.9378083843448103,1.5,2.0,26.5,25.5
215,-1337.4207084618363,3,0.9375270418295069,2.0,2.5,25.5,26.0
216,-1371.8834415064325,3,0.937245783716958,2.5,2.0,26.0,26.5
217,-1375.691039159453,3,0.9369646099818429,2.0,2.0,26.5,26.5
218,-1318.4012383587617,3,0.9366835205988484,2.0,1.0,26.5,27.0
219,-1263.7617777439953,2,0.9364025155426687,1.0,0.0,27.0,26.5
220,-1262.3171762040167,2,0.9361215947880059,0.0,0.0,26.5,26.5
221,-1282.8830197401219,3,0.9358407583095696,0.0,1.0,26.5,26.5
222,-1293.4192302001209,3,0.9355600060820768,1.0,0.5,26.5,27.0
223,-1276.442002462793,2,0.9352793380802522,0.5,0.5,27.0,27.5
224,-1342.6478643517362,3,0.9349987542788282,0.5,1.5,27.5,27.5
225,-1288.2620258572254,3,0.9347182546525445,1.5,1.0,27.5,27.5
226,-1312.2013031599156,3,0.9344378391761489,1.0,2.0,27.5,26.5
227,-1316.621143696613,3,0.9341575078243961,2.0,0.5,26.5,27.0
228,-1251.7284445470373,2,0.9338772605720488,0.5,0.0,27.0,27.0
229,-1280.1529338313105,3,0.9335970973938772,0.0,0.0,27.0,28.0
230,-1277.9845052980638,3,0.9333170182646591,0.0,0.0,28.0,28.5
231,-1280.8329080347562,2,0.9330370231591797,0.0,0.5,28.5,29.0
232,-1339.0523567141058,3,0.932757112052232,0.5,1.0,29.0,29.0
233,-1368.3408256803025,3,0.9324772849186164,1.0,1.5,29.0,30.0
234,-1338.2827075465732,3,0.9321975417331408,1.5,0.5,30.0,29.0
235,-1332.4719131851866,3,0.9319178824706209,0.5,1.5,29.0,28.0
236,-1333.1397512795975,3,0.9316383071058798,1.5,1.0,28.0,29.0
237,-1308.2661336587498,3,0.9313588156137481,1.0,0.5,29.0,28.5
238,-1299.7996075232652,3,0.931079407969064,0.5,1.0,28.5,29.0
239,-1311.4937273344194,3,0.9308000841466733,1.0,0.5,29.0,28.5
240,-1267.0542701731933,2,0.9305208441214293,0.5,0.0,28.5,29.0
241,-1288.2585686731636,3,0.930241687868193,0.0,0.5,29.0,29.0
242,-1301.1663762258763,3,0.9299626153618326,0.5,0.5,29.0,29.0
243,-1265.9571600494774,2,0.929683626577224,0.5,0.0,29.0,28.0
244,-1270.669584919302,2,0.9294047214892509,0.0,0.5,28.0,27.5
245,-1323.1413923620707,3,0.9291259000728042,0.5,1.5,27.5,29.0
246,-1291.8250891706925,3,0.9288471623027823,1.5,0.0,29.0,28.5
247,-1286.3693584013724,3,0.9285685081540915,0.0,0.5,28.5,28.0
248,-1277.1885985149318,2,0.9282899376016454,0.5,0.0,28.0,28.5
249,-1285.2052786973777,3,0.9280114506203649,0.0,0.0,28.5,27.0
250,-1264.0811055161005,2,0.9277330471851789,0.0,0.5,27.0,26.5
251,-1269.4317376132774,2,0.9274547272710234,0.5,1.0,26.5,26.0
